country,ISO Country code,population,id,surface area (Km2),Score,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),GDP (billions PPP),GDP per capita (PPP),GDP growth(annual %),health expenditure % of GDP,health expenditure per person,education expenditure % of GDP,education expenditure per person ,school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Guinea,GIN,"13,000,000",324,"245,717",0.3443479879742256,39.4,,0.459,4.87,28.3,16.0,1265.0,0.1,4.5,57.0,2.4,18.0,9.0,6.8,80.6,25.4,5,5,-0.61,-1.0,-0.8,-1.23,-1.01,28.2,26.9,32.4,65.9,52.2,40.0,21.9
Guinea-Bissau,GNB,"1,700,000",624,"28,120",0.1686143572621036,,,0.455,,,2.9,1730.0,4.8,6.9,100.0,,,,6.5,85.6,21.9,5,5,-0.6,-1.8,-1.2,-1.44,-1.56,53.5,27.3,31.1,86.4,56.9,30.0,13.7
Guyana,GUY,"800,000",328,"196,849",0.4505576249433063,44.6,,0.654,,42.8,6.0,7873.0,3.0,4.5,336.0,,,10.0,11.4,70.8,31.2,2,3,-0.04,-0.3,-0.4,-0.29,-0.51,42.5,34.8,42.1,68.4,58.7,30.0,31.9
Haiti,HTI,"11,000,000",332,"27,560",0.22777427084869162,60.8,28.6,0.498,3.82,24.2,19.4,1784.0,1.0,6.9,120.0,,,,13.2,85.6,21.9,5,5,-0.7,-2.1,-1.3,-1.09,-1.24,42.5,24.6,25.1,80.1,55.8,30.0,2.5
Honduras,HND,"9,000,000",340,"111,890",0.4641557793995029,47.1,27.2,0.617,6.02,41.9,43.2,5272.0,3.6,7.6,353.0,,,11.0,6.3,76.6,27.9,4,4,-0.55,-0.5,-0.4,-1.05,-0.72,34.5,28.2,44.3,82.8,60.6,60.0,25.8
Hungary,HUN,"10,000,000",348,"89,608",0.699321269104588,28.2,26.4,0.838,6.07,66.1,270.3,27482.0,2.9,7.2,1912.0,4.6,658.0,15.0,5.2,29.4,48.5,3,2,0.81,0.5,0.7,0.53,0.09,57.1,36.4,57.6,78.6,66.7,70.0,10.1
Iceland,ISL,"300,000",352,"100,250",0.8680134781881043,28.0,31.1,0.935,7.48,83.7,16.5,49136.0,4.0,8.6,4116.0,,,20.0,3.8,44.2,43.1,1,1,1.37,1.5,1.4,1.61,1.84,72.6,77.3,86.7,72.1,77.0,70.0,47.6
India,IND,"1,339,000,000",356,"2,973,193",0.461579981740624,35.2,29.2,0.64,4.05,40.0,8662.4,6616.0,7.3,3.9,238.0,,,12.0,3.5,77.7,27.3,2,3,-0.83,0.1,-0.3,0.0,-0.24,54.3,47.2,55.4,79.4,54.5,40.0,11.8
Indonesia,IDN,"264,000,000",360,"1,811,569",0.5717951652624846,36.8,35.7,0.694,5.1,46.4,3032.1,11720.0,4.8,3.3,369.0,3.3,115.0,13.0,5.6,90.7,17.6,2,4,-0.51,0.0,-0.1,-0.35,-0.25,45.2,42.8,49.3,83.7,64.2,60.0,19.8
Iran,IRN,"81,000,000",0,"1,531,595",0.4844749368308981,44.5,24.0,0.798,4.72,48.0,1454.5,18078.0,0.0,7.6,1262.0,2.8,155.0,15.0,11.3,91.1,17.2,6,6,-0.93,-0.2,-1.2,-0.68,-0.81,35.3,32.6,32.5,81.0,50.9,10.0,5.9
Iraq,IRQ,"38,000,000",368,"437,367",0.40873876127150816,,26.5,0.685,4.46,37.0,647.2,17944.0,2.4,3.4,481.0,,,,16.0,45.4,42.7,5,6,-2.33,-1.3,-1.2,-1.64,-1.37,11.4,23.4,36.7,,,,25.3
Ireland,IRL,"4,700,000",372,"68,883",0.8194177373118243,31.3,30.0,0.938,7.06,80.3,324.9,69231.0,7.8,7.8,5335.0,,,19.0,8.1,69.6,31.9,1,1,1.02,1.3,1.6,1.43,1.55,79.0,79.0,87.7,76.1,80.4,70.0,22.2
Israel,ISR,"9,000,000",376,"20,330",0.7133500054933064,42.8,28.8,0.903,7.33,66.5,300.6,35179.0,2.6,7.4,2819.0,5.7,2154.0,16.0,5.6,51.8,40.1,1,3,-0.88,1.4,1.3,1.02,0.83,83.1,61.2,78.2,60.9,72.2,70.0,27.5
Italy,ITA,"61,000,000",380,"294,140",0.7192416949538362,31.9,28.1,0.88,6.2,69.1,2234.5,36833.0,0.8,9.0,3351.0,4.1,1443.0,16.0,11.5,24.1,50.3,1,1,0.24,0.5,0.7,0.32,0.19,60.9,40.1,71.2,55.2,62.5,50.0,31.0
Jamaica,JAM,"2,800,000",388,"10,831",0.641343281783214,35.0,36.9,0.732,5.89,49.7,25.4,8976.0,1.1,5.9,511.0,6.0,292.0,,13.3,77.2,27.6,2,3,0.25,0.5,0.1,-0.16,-0.17,56.6,39.4,60.9,80.0,69.1,50.0,17.5
Japan,JPN,"127,000,000",392,"364,485",0.7065024330420693,37.9,28.3,0.909,5.91,75.2,5237.8,41275.0,0.5,10.9,4405.0,3.6,1368.0,15.0,3.1,54.1,39.1,1,1,1.12,1.6,1.4,1.57,1.52,73.2,79.2,86.0,67.4,72.3,60.0,9.3
